schema_version	halfword_hex	form
2	0x2290	c.lbu
2	0x2292	c.lhu
2	0x2294	c.lbu
2	0x2296	c.lhu
2	0x2298	c.lbu
2	0x229a	c.lhu
2	0x229c	c.lbu
2	0x229e	c.lhu
2	0x22a0	c.lbu
2	0x22a2	c.lhu
2	0x22a4	c.lbu
2	0x22a6	c.lhu
2	0x22a8	c.lbu
2	0x22aa	c.lhu
2	0x22ac	c.lbu
2	0x22ae	c.lhu
2	0x22b0	c.lbu
2	0x22b2	c.lhu
2	0x22b4	c.lbu
2	0x22b6	c.lhu
2	0x22b8	c.lbu
2	0x22ba	c.lhu
2	0x22bc	c.lbu
2	0x22be	c.lhu
2	0x22c0	c.lbu
2	0x22c2	c.lhu
2	0x22c4	c.lbu
2	0x22c6	c.lhu
2	0x22c8	c.lbu
2	0x22ca	c.lhu
2	0x22cc	c.lbu
2	0x22ce	c.lhu
2	0x22d0	c.lbu
2	0x22d2	c.lhu
2	0x22d4	c.lbu
2	0x22d6	c.lhu
2	0x22d8	c.lbu
2	0x22da	c.lhu
2	0x22dc	c.lbu
2	0x22de	c.lhu
2	0x22e0	c.lbu
2	0x22e2	c.lhu
2	0x22e4	c.lbu
2	0x22e6	c.lhu
2	0x22e8	c.lbu
2	0x22ea	c.lhu
2	0x22ec	c.lbu
2	0x22ee	c.lhu
2	0x22f0	c.lbu
2	0x22f2	c.lhu
2	0x22f4	c.lbu
2	0x22f6	c.lhu
2	0x22f8	c.lbu
2	0x22fa	c.lhu
2	0x22fc	c.lbu
2	0x22fe	c.lhu
2	0x2300	c.lbu
2	0x2302	c.lhu
2	0x2304	c.lbu
2	0x2306	c.lhu
2	0x2308	c.lbu
2	0x230a	c.lhu
2	0x230c	c.lbu
2	0x230e	c.lhu
2	0x2310	c.lbu
2	0x2312	c.lhu
2	0x2314	c.lbu
2	0x2316	c.lhu
2	0x2318	c.lbu
2	0x231a	c.lhu
2	0x231c	c.lbu
2	0x231e	c.lhu
2	0x2320	c.lbu
2	0x2322	c.lhu
2	0x2324	c.lbu
2	0x2326	c.lhu
2	0x2328	c.lbu
2	0x232a	c.lhu
2	0x232c	c.lbu
2	0x232e	c.lhu
2	0x2330	c.lbu
2	0x2332	c.lhu
2	0x2334	c.lbu
2	0x2336	c.lhu
2	0x2338	c.lbu
2	0x233a	c.lhu
2	0x233c	c.lbu
2	0x233e	c.lhu
2	0x2340	c.lbu
2	0x2342	c.lhu
2	0x2344	c.lbu
2	0x2346	c.lhu
2	0x2348	c.lbu
2	0x234a	c.lhu
2	0x234c	c.lbu
2	0x234e	c.lhu
2	0x2350	c.lbu
2	0x2352	c.lhu
2	0x2354	c.lbu
2	0x2356	c.lhu
2	0x2358	c.lbu
2	0x235a	c.lhu
2	0x235c	c.lbu
2	0x235e	c.lhu
2	0x2360	c.lbu
2	0x2362	c.lhu
2	0x2364	c.lbu
2	0x2366	c.lhu
2	0x2368	c.lbu
2	0x236a	c.lhu
2	0x236c	c.lbu
2	0x236e	c.lhu
2	0x2370	c.lbu
2	0x2372	c.lhu
2	0x2374	c.lbu
2	0x2376	c.lhu
2	0x2378	c.lbu
2	0x237a	c.lhu
2	0x237c	c.lbu
2	0x237e	c.lhu
2	0x2380	c.lbu
2	0x2382	c.lhu
2	0x2384	c.lbu
2	0x2386	c.lhu
2	0x2388	c.lbu
2	0x238a	c.lhu
2	0x238c	c.lbu
2	0x238e	c.lhu
2	0x2390	c.lbu
2	0x2392	c.lhu
2	0x2394	c.lbu
2	0x2396	c.lhu
2	0x2398	c.lbu
2	0x239a	c.lhu
2	0x239c	c.lbu
2	0x239e	c.lhu
2	0x23a0	c.lbu
2	0x23a2	c.lhu
2	0x23a4	c.lbu
2	0x23a6	c.lhu
2	0x23a8	c.lbu
2	0x23aa	c.lhu
2	0x23ac	c.lbu
2	0x23ae	c.lhu
2	0x23b0	c.lbu
2	0x23b2	c.lhu
2	0x23b4	c.lbu
2	0x23b6	c.lhu
2	0x23b8	c.lbu
2	0x23ba	c.lhu
2	0x23bc	c.lbu
2	0x23be	c.lhu
2	0x23c0	c.lbu
2	0x23c2	c.lhu
2	0x23c4	c.lbu
2	0x23c6	c.lhu
2	0x23c8	c.lbu
2	0x23ca	c.lhu
2	0x23cc	c.lbu
2	0x23ce	c.lhu
2	0x23d0	c.lbu
2	0x23d2	c.lhu
2	0x23d4	c.lbu
2	0x23d6	c.lhu
2	0x23d8	c.lbu
2	0x23da	c.lhu
2	0x23dc	c.lbu
2	0x23de	c.lhu
2	0x23e0	c.lbu
2	0x23e2	c.lhu
2	0x23e4	c.lbu
2	0x23e6	c.lhu
2	0x23e8	c.lbu
2	0x23ea	c.lhu
2	0x23ec	c.lbu
2	0x23ee	c.lhu
2	0x23f0	c.lbu
2	0x23f2	c.lhu
2	0x23f4	c.lbu
2	0x23f6	c.lhu
2	0x23f8	c.lbu
2	0x23fa	c.lhu
2	0x23fc	c.lbu
2	0x23fe	c.lhu
2	0x2400	c.lbu
2	0x2402	c.lhu
2	0x2404	c.lbu
2	0x2406	c.lhu
2	0x2408	c.lbu
2	0x240a	c.lhu
2	0x240c	c.lbu
2	0x240e	c.lhu
2	0x2410	c.lbu
2	0x2412	c.lhu
2	0x2414	c.lbu
2	0x2416	c.lhu
2	0x2418	c.lbu
2	0x241a	c.lhu
2	0x241c	c.lbu
2	0x241e	c.lhu
2	0x2420	c.lbu
2	0x2422	c.lhu
2	0x2424	c.lbu
2	0x2426	c.lhu
2	0x2428	c.lbu
2	0x242a	c.lhu
2	0x242c	c.lbu
2	0x242e	c.lhu
2	0x2430	c.lbu
2	0x2432	c.lhu
2	0x2434	c.lbu
2	0x2436	c.lhu
2	0x2438	c.lbu
2	0x243a	c.lhu
2	0x243c	c.lbu
2	0x243e	c.lhu
2	0x2440	c.lbu
2	0x2442	c.lhu
2	0x2444	c.lbu
2	0x2446	c.lhu
2	0x2448	c.lbu
2	0x244a	c.lhu
2	0x244c	c.lbu
2	0x244e	c.lhu
2	0x2450	c.lbu
2	0x2452	c.lhu
2	0x2454	c.lbu
2	0x2456	c.lhu
2	0x2458	c.lbu
2	0x245a	c.lhu
2	0x245c	c.lbu
2	0x245e	c.lhu
2	0x2460	c.lbu
2	0x2462	c.lhu
2	0x2464	c.lbu
2	0x2466	c.lhu
2	0x2468	c.lbu
2	0x246a	c.lhu
2	0x246c	c.lbu
2	0x246e	c.lhu
2	0x2470	c.lbu
2	0x2472	c.lhu
2	0x2474	c.lbu
2	0x2476	c.lhu
2	0x2478	c.lbu
2	0x247a	c.lhu
2	0x247c	c.lbu
2	0x247e	c.lhu
2	0x2480	c.lbu
2	0x2482	c.lhu
2	0x2484	c.lbu
2	0x2486	c.lhu
2	0x2488	c.lbu
2	0x248a	c.lhu
2	0x248c	c.lbu
2	0x248e	c.lhu
2	0x2490	c.lbu
2	0x2492	c.lhu
2	0x2494	c.lbu
2	0x2496	c.lhu
2	0x2498	c.lbu
2	0x249a	c.lhu
2	0x249c	c.lbu
2	0x249e	c.lhu
2	0x24a0	c.lbu
2	0x24a2	c.lhu
2	0x24a4	c.lbu
2	0x24a6	c.lhu
2	0x24a8	c.lbu
2	0x24aa	c.lhu
2	0x24ac	c.lbu
2	0x24ae	c.lhu
2	0x24b0	c.lbu
2	0x24b2	c.lhu
2	0x24b4	c.lbu
2	0x24b6	c.lhu
2	0x24b8	c.lbu
2	0x24ba	c.lhu
2	0x24bc	c.lbu
2	0x24be	c.lhu
2	0x24c0	c.lbu
2	0x24c2	c.lhu
2	0x24c4	c.lbu
2	0x24c6	c.lhu
2	0x24c8	c.lbu
2	0x24ca	c.lhu
2	0x24cc	c.lbu
2	0x24ce	c.lhu
2	0x24d0	c.lbu
