schema_version	evidence_id	path	role	size_bytes	sha256	producer_command_id	required_by
2	ev-a4e01f7bac223842097957b8b8b83de8a5ac654efa353b72b0472f108c11b815	controls/documents/visual-pages/v407-057.png	document-control	385920	b165aeb62110006c08b2fc371a8c2311a7142ca0765b4e3f9e5b8003e20ea1f5	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-9e14da61356834bb6882d723690cc191ac7b36b2ac3a93f764c7fd5a92411670	controls/documents/visual-pages/v407-058.png	document-control	318920	64a66ee5d1afd41e315ab6e8ab7d19ba37ef63887f28e23e86495e99c99e413f	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-b1e33e7f44a5bd778ae28f8415c13530f4367116e5bffc6d79c5d73b8b7e6535	controls/documents/visual-pages/wchnet-01.png	document-control	227513	9e0763c81878a477b7cbcb0f98fcfd0a8dbc7754b7da7c6b82f8f77d1312f285	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-62fc97c446b6e09238656a708e5706f439ffeadabb5936f0b18a955b5e6d5629	controls/documents/visual-pages/wchnet-02.png	document-control	212396	b964a6d7bdba86619b6e43460d9cac5c578709ef233846122daedd8abbc1d95f	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-76a4cbbafc5e410136d2071ddc5c57241a646734f66a28560b67073442f2510b	controls/documents/wchnet-document-gap.tsv	document-control	2545	f13f327e05a513880eab8376fa1aec36b3279b085c20c41456753cfd82dccd63	cmd-620eaeaee0b360803ab04a779cf6d80fadd5fcaeba171828efeb807b3c34b4ac	documents,visibility
2	ev-47ec52c0a9a9beb860e954442841444acc5ee84ada12db735535492853b9ef8f	controls/positive/disassembly/0b196fff0b9f666fc30cd4dcebe90ef299f1fed37fff6b66f460951515e494ca-GetChipID.txt	positive-semantic-evidence	709	a45a6b251b4a612dd4e7167bc256aed6a827fc908715ecbe4a2a30887741e381	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-bd2eebed2fd00dc4e90c11fc8860fa2bb549c6bf101a250643fccc416898bda7	controls/positive/disassembly/0b196fff0b9f666fc30cd4dcebe90ef299f1fed37fff6b66f460951515e494ca-getTxBuffAddr.txt	positive-semantic-evidence	3233	738dfebd63a5ea86491d2b07831e6df2d59677150459db844963b4e9975c5ed2	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-269fc6efa960188298903ec4d445612b6c41b99a0b8f55b9f33a5c016b222a41	controls/positive/disassembly/0b196fff0b9f666fc30cd4dcebe90ef299f1fed37fff6b66f460951515e494ca-symbols.txt	positive-semantic-evidence	1649	37edc80ca4c3ccaefba620bc48db23b14d30184b2c0b304431c0d00500a86ea8	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-560d2c3d0e8941a4dd9d6a9cf09ada0a0b6f5ae8bccf9eb6cb168389da86a563	controls/positive/disassembly/0c796a85a0123d5338803c1a144d3dbac76e906a6f652f73155cd6a8a6f28ac4-GetChipID.txt	positive-semantic-evidence	709	5583ebc656432496b54b438650a8a6866d8e786c96d92cbfeb3e5a03a0d02508	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-da6be7eeb0f41fb55c2215ca23a49db16201a2879f1d6929121de1fcca500d8a	controls/positive/disassembly/0c796a85a0123d5338803c1a144d3dbac76e906a6f652f73155cd6a8a6f28ac4-getTxBuffAddr.txt	positive-semantic-evidence	3212	03a2c98f1344b71e406ff647d2888b145f497be476c9bb097f2c47a49d0315bb	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-0d6f3c57c3380fdbef863e4d329fc36098f137ed60adf5fb368a74f59d55ce63	controls/positive/disassembly/0c796a85a0123d5338803c1a144d3dbac76e906a6f652f73155cd6a8a6f28ac4-symbols.txt	positive-semantic-evidence	1623	d41325213518fe6330f79ba9747cbf37f4f0ec4a6c9e3b06e4c595a5941b6a20	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
2	ev-7eaf17f9e7cc16a92dd1322da1078e54db6206734c3aa5a13732b508efdbe9e0	controls/positive/disassembly/845388710f117bcbf29deeda982d7d480fa4482405d10a558489b9ab40b3546d-getTxBuffAddr.txt	positive-semantic-evidence	1631	eacffaec062bc7541c066a79b177e299455de6a31ca918b6952be698f1764355	cmd-bd3b8d874961c9df632ddbc20832c1953c0c154efdc5f4489f887cfd43cd9314	findings,WCHNET,IoCHub
