schema_version	path	sha256	size	title	version	date	language	pages	chip_or_core	provenance	relevance	extraction_method	extraction_status	text_sha256	byte_representative	pdfinfo_status
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/MESH/«ﬂ∫„µÕπ¶∫ƒ¿∂—¿MESH»Ìº˛ø™∑¢≤Œøº ÷≤·.pdf	c7584f7adf38d33f61772b03853335d70dad741e5325bdff561c0f0bc866bccf	394486	沁恒低功耗蓝牙MESH软件开发参考手册	V1.1	Tue Jul 21 18:08:35 2026 JST	mixed-or-chinese	40	CH58x;CH58xEVT	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	8d6de8cce4e03b65d6d4846087af1038143022b19cbf43cdc8639da6bba3f0a8	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/MESH/«ﬂ∫„µÕπ¶∫ƒ¿∂—¿MESH»Ìº˛ø™∑¢≤Œøº ÷≤·.pdf	pass
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/WCH¿∂—¿ø’÷–…˝º∂£®BLE OTA£©.PDF	f0ec07ed115cba1df30570a2ae2900b3c1b2ef15cb6898cd58c648ef293c20da	336100	WCH	V1.2	Tue Jul 21 17:22:01 2026 JST	mixed-or-chinese	4	not-specific	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	b64c1168439579fc99169d9d29573bb826ec85b63017f1691133fee230d617b5	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/WCH¿∂—¿ø’÷–…˝º∂£®BLE OTA£©.PDF	pass
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/«ﬂ∫„µÕπ¶∫ƒ¿∂—¿»Ìº˛ø™∑¢≤Œøº ÷≤·.PDF	197ec7ccbc510aae957cd943481442403ef44661b9c3e9803dacd580798767b3	3374993	沁恒低功耗蓝牙软件开发参考手册	V1.9	Tue Jul 21 18:06:01 2026 JST	mixed-or-chinese	70	CH583DS1;CH58x;CH58xEVT	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	7084c35d793f3a4853998ffc61379b6f603091dc872e98b80b2478f395b410e4	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/BLE/«ﬂ∫„µÕπ¶∫ƒ¿∂—¿»Ìº˛ø™∑¢≤Œøº ÷≤·.PDF	pass
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/I2C/I2CΩ”ø⁄ π”√÷∏ƒœ.PDF	df41d54ffde334679bc26d7e9ab369b03cff39a8f2ce783afacc8b3ee3f83c8b	440699	I2C	1B	Tue Jul 21 17:17:29 2026 JST	mixed-or-chinese	7	not-specific	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	ae3bb180f1fcc856b7f8d59eaa1aa642d9d0ab9f14ff92358a6e6585ebba5472	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/I2C/I2CΩ”ø⁄ π”√÷∏ƒœ.PDF	pass
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/TOUCH/WCH_touch_V3ø‚ π”√Àµ√˜.pdf	bf50109705ef8acbf0c3573ecd43689d2ae2a976dce9f4a56d04a7478e05359a	269024	WCH_touch_V3	V1.1	Tue Jul 21 17:18:18 2026 JST	mixed-or-chinese	18	CH585;CH595	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	a504c93794c25380c5a04a4744369b0d97809403b040becad3a40da5abf094be	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/EXAM/TOUCH/WCH_touch_V3ø‚ π”√Àµ√˜.pdf	pass
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/PUB/CH587 Evaluation Board Reference.pdf	82c60716f886b5951473c6c76c470bcd08ac7ff0febfc1ea47f577de8badb4bf	3698179	CH587 Evaluation Board Reference	1	Tue Jul 21 17:13:29 2026 JST	latin-script-or-empty	13	CH587;CH587EVT;CH587M;CH587SCH;CH58x	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	ef3c8e355ee54ab3c8eaaddbffdc19399b7abeb67deecdf2576c88f8e6a9d9e7	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/PUB/CH587 Evaluation Board Reference.pdf	pass
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/PUB/CH587SCH.pdf	ec32c5f5576ad51e03e8206fa4111ba109409d00c15543b515d46ddeb24396e6	196771	New Output	not-extracted	Mon Jun  8 09:00:00 2026 JST	mixed-or-chinese	1	CH587SCH	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	8de5ccfd851218add5bcd15d4145c29c116b95ce3c27e9efb134f1ebbc044a16	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/PUB/CH587SCH.pdf	pass
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/PUB/CH587∆¿π¿∞ÂÀµ√˜ È.pdf	e524224396a0c9fcf1132b003dc775b09cd51f70faf13af6325c57e84d1f42ee	3651378	CH587	1	Tue Jul 21 17:15:57 2026 JST	mixed-or-chinese	10	CH587;CH587EVT;CH587M;CH587SCH;CH58x	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	ed57ec2c96016de3a655075da16156a140b373124a5d26e0ae90b6e970d3568b	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/PUB/CH587∆¿π¿∞ÂÀµ√˜ È.pdf	pass
2	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/PUB/¿∂—¿–æ∆¨µƒµÁ¬∑º∞PCB…Ëº∆µƒ÷ÿ“™◊¢“‚ ¬œÓ.pdf	fa38487e29d9cf778512e51ae1865b63205f4b9b097278dd841df1bcdc484c81	2601285	蓝牙芯片的电路及PCB设计的重要注意事项	2B	Tue Jul 21 17:23:07 2026 JST	mixed-or-chinese	4	CH585	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	db57dc2b1a64075c33db01bef8ed25c3d9d1b1d004414b44e3a7a2042f38ebb9	tmp/wch-evt/evt/QingkeV3C_CH587_EVT/PUB/¿∂—¿–æ∆¨µƒµÁ¬∑º∞PCB…Ëº∆µƒ÷ÿ“™◊¢“‚ ¬œÓ.pdf	pass
2	tmp/wch-evt/evt/QingkeV3F_CH32X315_EVT/EXAM/IAP/USB_UART/CH32X3x5_IAP π”√Àµ√˜.pdf	8a10df8fc6f78255ae9eb80424906ebd1363d88d4ccff2d96f9197efec4bdff4	530478	CH32X3x5_IAP	V1.0	Mon Apr 13 14:13:03 2026 JST	mixed-or-chinese	5	CH32X3x5	local-wch-evt-or-manual	included-full-text-query	Poppler pdftotext -layout -enc UTF-8	pass	314b468f7c6c2af3836eb404e9d750817a2f9fb372eff526c72a90293f1077d0	tmp/wch-evt/evt/QingkeV3F_CH32X315_EVT/EXAM/IAP/USB_UART/CH32X3x5_IAP π”√Àµ√˜.pdf	pass
