file_id	denominator_id	path	implementation_group	component	artifact_role	wch_darwin_type	wch_darwin_mode	wch_darwin_size	wch_darwin_sha256	wch_linux_status	wch_linux_type	wch_linux_mode	wch_linux_size	wch_linux_sha256	upstream_release_status	upstream_release_type	upstream_release_mode	upstream_release_size	upstream_release_sha256	upstream_build_status	upstream_build_type	upstream_build_mode	upstream_build_size	upstream_build_sha256	darwin_linux_comparison	wch_upstream_release_comparison	wch_upstream_build_comparison	comparator_exists	classification	evidence_ids
P3E-FILE-011	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	DIR	755	0	-	PRESENT	DIR	755	0	-	PRESENT-SOURCE-DIRECTORY	DIR	755	0	-	PRESENT	DIR	755	0	-	DIRECTORY-BOTH	SOURCE-DIRECTORY-PRESENT	DIRECTORY-BOTH	false	PACKAGE-DIRECTORY	T1-002,T1-003,T1-004
P3E-FILE-012	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/aarch64-linux.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	18415	e04f6cc89ad8e0a0f33a1bb866a89268f14a64d5f69107419005d7b373958db4	PRESENT	FILE	755	18415	e04f6cc89ad8e0a0f33a1bb866a89268f14a64d5f69107419005d7b373958db4	PRESENT	FILE	644	18415	e04f6cc89ad8e0a0f33a1bb866a89268f14a64d5f69107419005d7b373958db4	PRESENT	FILE	644	18415	e04f6cc89ad8e0a0f33a1bb866a89268f14a64d5f69107419005d7b373958db4	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-013	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/amd64-linux.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	21397	a7a04515a1ad8bdf6d1cc2dbf3b5aba3063cfb76c6b8c5cbc0abc80b3a93d1bc	PRESENT	FILE	755	21397	a7a04515a1ad8bdf6d1cc2dbf3b5aba3063cfb76c6b8c5cbc0abc80b3a93d1bc	PRESENT	FILE	644	21397	a7a04515a1ad8bdf6d1cc2dbf3b5aba3063cfb76c6b8c5cbc0abc80b3a93d1bc	PRESENT	FILE	644	21397	a7a04515a1ad8bdf6d1cc2dbf3b5aba3063cfb76c6b8c5cbc0abc80b3a93d1bc	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-014	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/arm-linux.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	26342	657500d00a632248c175b4910317e9b341a2b84c101d4e59c9c14d064da21d2a	PRESENT	FILE	755	26342	657500d00a632248c175b4910317e9b341a2b84c101d4e59c9c14d064da21d2a	PRESENT	FILE	644	26342	657500d00a632248c175b4910317e9b341a2b84c101d4e59c9c14d064da21d2a	PRESENT	FILE	644	26342	657500d00a632248c175b4910317e9b341a2b84c101d4e59c9c14d064da21d2a	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-015	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/freebsd.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	22599	d784ac7342d7066567ab84cbe9201de8aaa3817e68c74162306dac8daddecc43	PRESENT	FILE	755	22599	d784ac7342d7066567ab84cbe9201de8aaa3817e68c74162306dac8daddecc43	PRESENT	FILE	644	22599	d784ac7342d7066567ab84cbe9201de8aaa3817e68c74162306dac8daddecc43	PRESENT	FILE	644	22599	d784ac7342d7066567ab84cbe9201de8aaa3817e68c74162306dac8daddecc43	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-016	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/gdb-syscalls.dtd	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	504	898cecb5324a176df9cd4ba0ddb3f7a4b10bcc030e79ccb0ce8f95634455829b	PRESENT	FILE	755	504	898cecb5324a176df9cd4ba0ddb3f7a4b10bcc030e79ccb0ce8f95634455829b	PRESENT	FILE	644	504	898cecb5324a176df9cd4ba0ddb3f7a4b10bcc030e79ccb0ce8f95634455829b	PRESENT	FILE	644	504	898cecb5324a176df9cd4ba0ddb3f7a4b10bcc030e79ccb0ce8f95634455829b	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-017	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/i386-linux.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	25494	2f990bf36cc15c018af289117119dc2016c6c8906d92eeaa3e48c369495f9015	PRESENT	FILE	755	25494	2f990bf36cc15c018af289117119dc2016c6c8906d92eeaa3e48c369495f9015	PRESENT	FILE	644	25494	2f990bf36cc15c018af289117119dc2016c6c8906d92eeaa3e48c369495f9015	PRESENT	FILE	644	25494	2f990bf36cc15c018af289117119dc2016c6c8906d92eeaa3e48c369495f9015	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-018	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/loongarch-linux.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	18266	2aabf459862bdd04ba370f8b60bb0d4b7e81c96240342ae375d2db6147caa90d	PRESENT	FILE	755	18266	2aabf459862bdd04ba370f8b60bb0d4b7e81c96240342ae375d2db6147caa90d	PRESENT	FILE	644	18266	2aabf459862bdd04ba370f8b60bb0d4b7e81c96240342ae375d2db6147caa90d	PRESENT	FILE	644	18266	2aabf459862bdd04ba370f8b60bb0d4b7e81c96240342ae375d2db6147caa90d	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-019	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/mips-n32-linux.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	22862	e2b0df307cc7ae9184412a0e62abc8a993f0850880039ba0eb0e0eb91790db33	PRESENT	FILE	755	22862	e2b0df307cc7ae9184412a0e62abc8a993f0850880039ba0eb0e0eb91790db33	PRESENT	FILE	644	22862	e2b0df307cc7ae9184412a0e62abc8a993f0850880039ba0eb0e0eb91790db33	PRESENT	FILE	644	22862	e2b0df307cc7ae9184412a0e62abc8a993f0850880039ba0eb0e0eb91790db33	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-020	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/mips-n64-linux.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	21293	d4065ec96b05b25cb0c96bae1b63fb9842565720dc8a81971c2844375cf0cba1	PRESENT	FILE	755	21293	d4065ec96b05b25cb0c96bae1b63fb9842565720dc8a81971c2844375cf0cba1	PRESENT	FILE	644	21293	d4065ec96b05b25cb0c96bae1b63fb9842565720dc8a81971c2844375cf0cba1	PRESENT	FILE	644	21293	d4065ec96b05b25cb0c96bae1b63fb9842565720dc8a81971c2844375cf0cba1	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-021	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/mips-o32-linux.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	24892	659d3655fe5f11c302746e6fb12d8b3c77ed69454480b9669a9f98967155f201	PRESENT	FILE	755	24892	659d3655fe5f11c302746e6fb12d8b3c77ed69454480b9669a9f98967155f201	PRESENT	FILE	644	24892	659d3655fe5f11c302746e6fb12d8b3c77ed69454480b9669a9f98967155f201	PRESENT	FILE	644	24892	659d3655fe5f11c302746e6fb12d8b3c77ed69454480b9669a9f98967155f201	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-022	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/netbsd.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	22063	e15b7da7b8dcb9258a087ef4b6a062e475a8bbf9d1ca9754dd504112aa7b5121	PRESENT	FILE	755	22063	e15b7da7b8dcb9258a087ef4b6a062e475a8bbf9d1ca9754dd504112aa7b5121	PRESENT	FILE	644	22063	e15b7da7b8dcb9258a087ef4b6a062e475a8bbf9d1ca9754dd504112aa7b5121	PRESENT	FILE	644	22063	e15b7da7b8dcb9258a087ef4b6a062e475a8bbf9d1ca9754dd504112aa7b5121	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
P3E-FILE-023	WCH-GDBSIM-DARWIN-32	share/gdb/syscalls/ppc-linux.xml	GDB-SIM	GDB	SHARE-DATA-OR-DIRECTORY	FILE	777	25118	18995148a69edf28ca9471c3d104e98e9069ed177d56d41022ed5dce81d2414c	PRESENT	FILE	755	25118	18995148a69edf28ca9471c3d104e98e9069ed177d56d41022ed5dce81d2414c	PRESENT	FILE	644	25118	18995148a69edf28ca9471c3d104e98e9069ed177d56d41022ed5dce81d2414c	PRESENT	FILE	644	25118	18995148a69edf28ca9471c3d104e98e9069ed177d56d41022ed5dce81d2414c	BYTE-EXACT-MODE-DIFF	BYTE-EXACT	BYTE-EXACT-MODE-DIFF	true	UPSTREAM-BUILD-BYTE-EXACT;MODE-ONLY-PACKAGING	T1-004,LGDB-0120
