file_id	package_denominator	path	implementation_group	component	scope	source_class	wch_type	wch_mode	wch_size	wch_sha256	p2_type	p2_mode	p2_size	p2_sha256	matched_status	ours_type	ours_mode	ours_size	ours_sha256	p2_comparison	ours_comparison	initial_classification	comparator_exists	evidence_ids
FILE-000021	WCH-PACKAGE	bin/riscv32-wch-elf-gdb-add-index	GDB-SIM	GDB-SIM	OUT-OF-SCOPE-FROZEN	GDB/SIM-OWNED	FILE	777	5712	426a845e2bd3f7e086f3fe64dffbc829f3ea0927e0576acd21836a4f24611b0c	MISSING	-	-	-	NOT-PRESENT-IN-MATCHED-TECHNICAL-CONTROL	MISSING	-	-	-	MISSING-IN-CONTROL	MISSING-IN-CONTROL	OUT-OF-SCOPE-FROZEN	false	T0-016,T0-017,T0-018
FILE-000022	WCH-PACKAGE	bin/riscv32-wch-elf-gprof	BINUTILS-GPROF	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1025344	e2253d35d23d129fae9e76b8dcdb35c99d96aa15329bf8b48a4634be5041f588	FILE	755	1173064	14b5a18e2af28c43ed7b054ac62fa7dc8aec98c748578da26d5131cbbadffd30	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1180408;sha256=0326e1cc2d6d42678fb05d1138dd9ecf1558c278e89996ac4fbda973ef927531	FILE	755	1173144	7b8b217cc917d6485838b9c6805ac3895711430f642d562189bca841fbb71ae8	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000023	WCH-PACKAGE	bin/riscv32-wch-elf-gstack	GDB-SIM	GDB-SIM	OUT-OF-SCOPE-FROZEN	GDB/SIM-OWNED	FILE	777	3034	d5b26a26b10750e88da789c54b09bef3d9f85e84501c74865d8ec47cf7cd58a9	MISSING	-	-	-	NOT-PRESENT-IN-MATCHED-TECHNICAL-CONTROL	MISSING	-	-	-	MISSING-IN-CONTROL	MISSING-IN-CONTROL	OUT-OF-SCOPE-FROZEN	false	T0-016,T0-017,T0-018
FILE-000024	WCH-PACKAGE	bin/riscv32-wch-elf-ld	BINUTILS-LD	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1882736	335ad12cc78f7bdba0bdba0fa6be2c51b783b9942e16a97e8a01573140683165	FILE	755	2131400	0d0ca5410d2f2bfd3f6abfff4b75fda0b71b29aae908bcdc65f88035c634bcc5	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=2142048;sha256=804c550cd96c6b25666b15f3a4c9f1f153db25b238fd1165ba3d852f0c941ca8	FILE	755	2131640	76b47acebfd93513067f6a101d319d1d94549fe6ba257856c24e1938d3f7aaf2	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000025	WCH-PACKAGE	bin/riscv32-wch-elf-ld.bfd	BINUTILS-LD	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1882736	469680028c17425e40863cb592b0010a21c934aa8c36a4760caaecdb34f9c939	FILE	755	2131400	0d0ca5410d2f2bfd3f6abfff4b75fda0b71b29aae908bcdc65f88035c634bcc5	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=2142056;sha256=832509b1abcc69b1fde25dc94542634dd84e546b57a4e39b58bc1039cc8f1afa	FILE	755	2131640	76b47acebfd93513067f6a101d319d1d94549fe6ba257856c24e1938d3f7aaf2	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000026	WCH-PACKAGE	bin/riscv32-wch-elf-lto-dump	GCC-LTO-DUMP	GCC	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	55654304	d21ddfb5b9f09bafde31b802c90ed905e57042967a67788ffded7beebf76d86d	FILE	755	68403160	e4f36db78f4cabb1afd0d190889b407b930159e85ec548beb3c82aefbeff0e11	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=68475864;sha256=56d3ab58f1b773729f14b33011a4c249f4dd7d4a4cea1874343babb1660e92a1	FILE	755	68403176	72b6288358b6e1971a80ec0599d749c897bbd83a9aa37e912759bde91feda7a9	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000027	WCH-PACKAGE	bin/riscv32-wch-elf-nm	BINUTILS-NM	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	973728	e1d7cbe60353911f1ef929912479b748f39396d3cc6c14b0e92fd1c06d323023	FILE	755	1113688	319616d2b6d753ba7efb0ad32aa50a1adbcd596cca7744aaf622e8f7a65bafb0	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1136424;sha256=041a8bb3ad231579daca8866586d3ead8fc841dae75bc53efa0195137ec3d680	FILE	755	1113768	0a3bd1e107b6dae151d75cec0a9189540224a46d9635c497ecac02ea34993145	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000028	WCH-PACKAGE	bin/riscv32-wch-elf-objcopy	BINUTILS-OBJCOPY	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1075040	0bc871581c7ffe56bc8cb1e28f405af25bef4989b9def9dea699de56f38f8166	FILE	755	1251512	ca250261c88d33dc4f3b296a9c540449d816d928814c75d1fdfe4be2186abb2e	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1259176;sha256=270e87512ffe2b98c3d6bbf4ee49a0871817cd954ae47e7f3ba2cfb0891cf0a6	FILE	755	1251592	0365488704f6c451b1e6cbe18bbb2601802c80b395948c90aa170a69df2f084e	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
FILE-000029	WCH-PACKAGE	bin/riscv32-wch-elf-objdump	BINUTILS-OBJDUMP	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	1712320	8e236c7426f9a4de96365a20f5644d71129a1ba547dd693755b47a0eb4795dd9	FILE	755	1959240	74ccd23e5f9d64ce7132c37f9ebdd807cf8d7082463fd9da9e355d9c285afea0	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1970984;sha256=9458d7a07c42c7970131595c984f7b3c587c0a1f1127fff345b435f0bd6cea8a	FILE	755	1959320	bf30bc4f55d5bd3d5cff3fcbe1d895a152f8092d430b152440582c3f2fb7bf3d	BYTE-DIFF	BYTE-DIFF	ANALYZED-GAP-AND-UNRESOLVED	true	T0-016,T0-017,T0-018,L3-053,L3-169-matched-freeze,L3-158-poststate-audit
FILE-000030	WCH-PACKAGE	bin/riscv32-wch-elf-ranlib	BINUTILS-ARCHIVE	BINUTILS	ACCEPTANCE-GATE	UPSTREAM-SOURCE	FILE	777	975456	cd0306b521c35ef93d2325c70f4462f5ab051ae4547d37b0955b332ea3bce19e	FILE	755	1137512	d6cdc2023e6d682e48ec8415a4a142f2ca42b09ebcd175654f703ef72cabc757	PRESENT-BYTE-DIFF-WCH;type=FILE;mode=755;size=1143880;sha256=8aa0a2fa846bde59cfd61b7f80d562d9dc753c493409af020e48c86aea885d2f	FILE	755	1137592	fbb1298cd318fd1ddb39782fd0c9ae6edc517a909d8de09a3318c21d62f19f91	BYTE-DIFF	BYTE-DIFF	HOST-MACH-O-INTERVAL-TILED-UNRESOLVED;BOUNDED-BEHAVIOR-ANALYZED	true	T0-016,T0-017,T0-018,L4-038,L4-063,L4-077
