# ruling(Main 2026-08-16): capability = 官方 8.2.0 包自身永久不可构建（指令缺失、属性合并拒绝、随包库缺失同属此类——库策略为逐字复用随包库，我方不造官方没有的库）；config = 工程/环境层可修。
# ruling-note(改判 2026-08-17, 审计 cb66c29): lib:missing 判 config；分区 capability=126/config=2。真机理：包内实有 6 份 libprintfloat.a（均在 multilib 子目录 rv32ec/ilp32e、rv32imac/ilp32、rv32imacxw/ilp32、rv32ecxw/ilp32e、rv32imafc/ilp32f、rv32imafcxw/ilp32f），CoreMark 的 -march=rv32imcxw 无对应 multilib、-print-multi-directory 回落默认目录 "."，默认库目录不含该库故 ld 找不到 -lprintfloat——属工程 march/库组合与包装 multilib 覆盖的配置层问题。原判据「树内无该库文件」被审计反证实验证伪，原行保留于历史（census-report §7(a) 预登记的移位口径按此兑现）。
# ruling-note(P2-21 裁定 2026-08-17, DECISIONS 4f5dedb, 用户裁定「缩减」): 排除粒度由工程级收紧为产物级——仅链接阶段失败的工程，其编译成功的 .o 全部进入收口 gate，只剔 .elf/.bin。本表 33 行（isa-attr:z-subset 31 + lib:missing 1 + link:region-overflow 1）的 keyword 列加 link-only: 前缀标注；class 列一字不动，capability=126 / config=2 分区继续由 class 列精确匹配推出。这 33 个工程的 .o 已入 gate，共 1684 只，行落 analysis/golden/8.2.0-darwin-arm64-full.tsv 的 P2-21 追加块（class=gate-link-only），扩展后 gate 总数 = 42285 + 1684 = 43969。证据 tmp/toolchain_8.2.0/evidence/s4/linkonly-extension/stage-a（run_id 20260816T235734.369403Z-72879；官方 r1/r2 双跑 33/33 逐字节一致；我方对拍 1684/1684 MATCH、DIFF=0、MISSING=0、EXTRA=0）。
# linkonly-objects(index:count, Σ=1684): 8:35, 9:31, 59:25, 60:25, 166:33, 251:31, 252:31, 253:31, 938:302, 1029:46, 1030:46, 1031:46, 1032:46, 1033:47, 1034:47, 1035:50, 1036:50, 1037:52, 1038:52, 1041:53, 1042:53, 1043:46, 1044:46, 1045:46, 1046:46, 1047:46, 1048:46, 1049:46, 1050:46, 1051:47, 1052:47, 1223:45, 1224:45
slug	class	keyword	first_error_excerpt	log_pointer
QingkeV5F_CH32H417EVT/EXAM/APPLICATION/LTDC_LVGL/V5F/LTDC_LVGL_V5F.wvproj	EXCLUDED-config	link-only:link:region-overflow	<TC>/bin/ld: <WORK>/projects/0938-QingkeV5F_CH32H417EVT_EXAM_APPLICATION_LTDC_LVGL_V5F_LTDC_LVGL_V5F.wvproj/work/obj/LTDC_LVGL_V5F.elf section `.highcode' will not fit in region `RAM_CODE'	tmp/toolchain_8.2.0/full-census/projects/0938-QingkeV5F_CH32H417EVT_EXAM_APPLICATION_LTDC_LVGL_V5F_LTDC_LVGL_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/DHCP/V3F/DHCP_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1029-QingkeV5F_CH32H417EVT_EXAM_ETH_DHCP_V3F_DHCP_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/DHCP/V5F/DHCP_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1030-QingkeV5F_CH32H417EVT_EXAM_ETH_DHCP_V5F_DHCP_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/DNS/V3F/DNS_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1031-QingkeV5F_CH32H417EVT_EXAM_ETH_DNS_V3F_DNS_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/DNS/V5F/DNS_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1032-QingkeV5F_CH32H417EVT_EXAM_ETH_DNS_V5F_DNS_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/IPRaw_PING/V3F/IPRaw_PING_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1033-QingkeV5F_CH32H417EVT_EXAM_ETH_IPRaw_PING_V3F_IPRaw_PING_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/IPRaw_PING/V5F/IPRaw_PING_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1034-QingkeV5F_CH32H417EVT_EXAM_ETH_IPRaw_PING_V5F_IPRaw_PING_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/IoCHub/IoCHub_Demo/V3F/IoCHub_Demo_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1035-QingkeV5F_CH32H417EVT_EXAM_ETH_IoCHub_IoCHub_Demo_V3F_IoCHub_Demo_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/IoCHub/IoCHub_Demo/V5F/IoCHub_Demo_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1036-QingkeV5F_CH32H417EVT_EXAM_ETH_IoCHub_IoCHub_Demo_V5F_IoCHub_Demo_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/IoCHub/IoCHub_UART/V3F/IoCHub_UART_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1037-QingkeV5F_CH32H417EVT_EXAM_ETH_IoCHub_IoCHub_UART_V3F_IoCHub_UART_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/IoCHub/IoCHub_UART/V5F/IoCHub_UART_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1038-QingkeV5F_CH32H417EVT_EXAM_ETH_IoCHub_IoCHub_UART_V5F_IoCHub_UART_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/MQTT/V3F/MQTT_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1041-QingkeV5F_CH32H417EVT_EXAM_ETH_MQTT_V3F_MQTT_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/MQTT/V5F/MQTT_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1042-QingkeV5F_CH32H417EVT_EXAM_ETH_MQTT_V5F_MQTT_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/TCPClient/V3F/TCPClient_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1043-QingkeV5F_CH32H417EVT_EXAM_ETH_TCPClient_V3F_TCPClient_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/TCPClient/V5F/TCPClient_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1044-QingkeV5F_CH32H417EVT_EXAM_ETH_TCPClient_V5F_TCPClient_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/TCPServer/V3F/TCPServer_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1045-QingkeV5F_CH32H417EVT_EXAM_ETH_TCPServer_V3F_TCPServer_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/TCPServer/V5F/TCPServer_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1046-QingkeV5F_CH32H417EVT_EXAM_ETH_TCPServer_V5F_TCPServer_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/UDPClient/V3F/UDPClient_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1047-QingkeV5F_CH32H417EVT_EXAM_ETH_UDPClient_V3F_UDPClient_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/UDPClient/V5F/UDPClient_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1048-QingkeV5F_CH32H417EVT_EXAM_ETH_UDPClient_V5F_UDPClient_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/UDPServer/V3F/UDPServer_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1049-QingkeV5F_CH32H417EVT_EXAM_ETH_UDPServer_V3F_UDPServer_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/UDPServer/V5F/UDPServer_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1050-QingkeV5F_CH32H417EVT_EXAM_ETH_UDPServer_V5F_UDPServer_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/WebServer/V3F/WebServer_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1051-QingkeV5F_CH32H417EVT_EXAM_ETH_WebServer_V3F_WebServer_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/ETH/WebServer/V5F/WebServer_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1052-QingkeV5F_CH32H417EVT_EXAM_ETH_WebServer_V5F_WebServer_V5F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/TKey/TKey_8keys/V3F/TKey_8keys_V3F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_zba1p0_zbb1p0_zbc1p0_zbs1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1223-QingkeV5F_CH32H417EVT_EXAM_TKey_TKey_8keys_V3F_TKey_8keys_V3F.wvproj/logs
QingkeV5F_CH32H417EVT/EXAM/TKey/TKey_8keys/V5F/TKey_8keys_V5F.wvproj	EXCLUDED-capability	link-only:isa-attr:z-subset	<TC>/bin/ld: -march=rv32i2p0_m2p0_a2p0_c2p0_zmmul1p0_zba1p0_zbb1p0_zbc1p0_zbs1p0_xw2p2: unsupported ISA subset `z'	tmp/toolchain_8.2.0/full-census/projects/1224-QingkeV5F_CH32H417EVT_EXAM_TKey_TKey_8keys_V5F_TKey_8keys_V5F.wvproj/logs
